"No.","Time","Source","Destination","Protocol","Length","Info"
"4709","39.859224","88.221.83.67","172.16.254.128","TLSv1.2","180","Server Hello, Change Cipher Spec, Encrypted Handshake Message"
"4711","39.860561","172.16.254.128","88.221.83.67","TLSv1.2","101","Change Cipher Spec, Encrypted Handshake Message"
"4713","39.861280","172.16.254.128","88.221.83.67","TLSv1.2","890","Application Data"
"4715","39.866829","172.16.254.128","216.58.208.238","TLSv1.2","731","Application Data"
"4716","39.867251","172.16.254.128","216.58.208.238","TLSv1.2","2777","Application Data"
"4723","39.882929","172.16.254.128","216.58.208.196","TLSv1.2","225","Application Data"
"4729","39.904867","216.58.208.196","172.16.254.128","TLSv1.2","246","Application Data"
"4730","39.905478","172.16.254.128","216.58.208.237","TLSv1.2","453","Application Data"
"4731","39.906069","216.58.208.196","172.16.254.128","TLSv1.2","442","Application Data, Application Data"
"4734","39.906741","172.16.254.128","216.58.208.196","TLSv1.2","100","Application Data"
"4748","39.935783","88.221.83.67","172.16.254.128","TLSv1.2","1514","Application Data[TCP segment of a reassembled PDU]"
"4756","39.941072","216.58.208.237","172.16.254.128","TLSv1.2","1514","Application Data"
"4757","39.941073","216.58.208.237","172.16.254.128","TLSv1.2","765","Application Data, Application Data"
"4758","39.941074","88.221.83.67","172.16.254.128","TLSv1.2","444","Application Data"
"4765","39.942800","172.16.254.128","216.58.208.237","TLSv1.2","100","Application Data"
"4782","39.966642","88.221.83.67","172.16.254.128","TLSv1.2","1502","Application Data[TCP segment of a reassembled PDU]"
"4798","39.977740","88.221.83.67","172.16.254.128","TLSv1.2","1514","Application Data[TCP segment of a reassembled PDU]"
"4814","39.983073","88.221.83.67","172.16.254.128","TLSv1.2","1502","Application Data[TCP segment of a reassembled PDU]"
"4820","39.987466","88.221.83.67","172.16.254.128","TLSv1.2","1178","Application Data"
"4822","39.988800","216.58.208.238","172.16.254.128","TLSv1.2","165","Application Data, Application Data"
"4823","39.988801","216.58.208.238","172.16.254.128","TLSv1.2","100","Application Data"
"4825","39.992307","172.16.254.128","216.58.208.238","TLSv1.2","100","Application Data"
"4827","40.007432","172.16.254.128","216.58.208.238","TLSv1.2","672","Application Data"
"4828","40.007741","172.16.254.128","216.58.208.238","TLSv1.2","2604","Application Data"
"4834","40.015112","172.16.254.128","216.58.208.237","TLSv1.2","990","Application Data"
"4842","40.032603","172.16.254.128","216.58.208.226","TLSv1.2","571","Client Hello"
"4845","40.033672","172.16.254.128","216.58.208.226","TLSv1.2","571","Client Hello"
"4848","40.044052","216.58.208.237","172.16.254.128","TLSv1.2","1466","Application Data, Application Data, Application Data"
"4849","40.044734","172.16.254.128","216.58.208.237","TLSv1.2","100","Application Data"
"4851","40.051555","216.58.208.226","172.16.254.128","TLSv1.2","207","Server Hello, Change Cipher Spec, Hello Request, Hello Request"
"4852","40.053196","172.16.254.128","216.58.208.226","TLSv1.2","270","Change Cipher Spec, Hello Request, Hello Request, Hello Request, Hello Request"
"4854","40.054281","172.16.254.128","216.58.208.226","TLSv1.2","107","Application Data"
"4855","40.054696","216.58.208.226","172.16.254.128","TLSv1.2","207","Server Hello, Change Cipher Spec, Hello Request, Hello Request"
"4856","40.054745","172.16.254.128","216.58.208.226","TLSv1.2","104","Application Data"
"4857","40.054874","172.16.254.128","216.58.208.226","TLSv1.2","96","Application Data"
"4860","40.055542","172.16.254.128","216.58.208.226","TLSv1.2","518","Application Data"
"4863","40.057319","172.16.254.128","216.58.208.226","TLSv1.2","270","Change Cipher Spec, Hello Request, Hello Request, Hello Request, Hello Request"
"4865","40.069455","216.58.208.226","172.16.254.128","TLSv1.2","152","Application Data, Application Data"
"4866","40.069457","216.58.208.226","172.16.254.128","TLSv1.2","152","Application Data, Application Data"
"4867","40.070328","172.16.254.128","216.58.208.226","TLSv1.2","92","Application Data"
"4869","40.078751","216.58.208.226","172.16.254.128","TLSv1.2","92","Application Data"
"4870","40.087552","216.58.208.226","172.16.254.128","TLSv1.2","542","Application Data, Application Data, Application Data"
"4879","40.109135","216.58.208.238","172.16.254.128","TLSv1.2","102","Application Data"
