"No.","Time","Source","Destination","Protocol","Length","Info"
"8652","111.750841","88.221.83.80","172.16.254.128","TLSv1.2","122","Application Data, Encrypted Alert"
"8662","111.928407","23.192.162.171","172.16.254.128","TLSv1.2","95","Application Data"
"8664","111.929347","23.192.162.171","172.16.254.128","TLSv1.2","81","Encrypted Alert"
"9888","128.401068","31.13.93.3","172.16.254.128","TLSv1.2","99","Application Data"
"9889","128.401510","31.13.93.3","172.16.254.128","TLSv1.2","85","Encrypted Alert"
"10901","143.773942","172.16.254.128","216.58.208.206","TLSv1.2","177","Application Data"
"10902","143.774090","172.16.254.128","216.58.208.206","TLSv1.2","100","Application Data"
"10905","143.774235","172.16.254.128","216.58.208.206","TLSv1.2","1081","Application Data"
"10908","143.807631","216.58.208.206","172.16.254.128","TLSv1.2","100","Application Data"
"10909","143.862483","216.58.208.206","172.16.254.128","TLSv1.2","210","Application Data, Application Data, Application Data"
"10913","143.869880","172.16.254.128","216.58.208.206","TLSv1.2","100","Application Data"
